objectid,parentid,filename,title,format,date,location,latitude,longitude,artist_stage_name,creator,description,type,rights,rights_statement,genre,publisher,rpm,note,owner_of_object,call_number
vr089,,,"Aretha",multiple,1986-10-27,"New York City, New York, United States",40.71427,-74.00597,Aretha Franklin,"Franklin, Aretha",Aretha is Franklin's thirty-first studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,R&B/Soul,Arista Records,33 1/3,,2nd Gen.,AL-8442
vr090,vr089,aretha_franklin_aretha.jpg,"Aretha front cover",image/jpg,,,,,,,,,,,,,,,,
vr091,vr089,aretha_franklin_aretha_back.jpg,"Aretha back cover",image/jpg,,,,,,,,,,,,,,,,
vr092,,,"Geatest Hits II",multiple,1970-09-08,"Los Angeles, California, United States",34.052235,-118.243683,The Temptations,"Edwards, Dennis; Williams, Paul; Franklin, Melvin; Kendricks, Eddie; Williams, Otis; Ruffin, David.",Greatest Hits II is the Temptations second compilation album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,R&B/Soul,Motown,33 1/3,,2nd Gen.,G 954
vr093,vr092,the_temptations_greatest_hits_ii.jpg,"Greatest Hits II front cover",image/jpg,,,,,,,,,,,,,,,,
vr094,vr092,the_temptations_greatest_hits_ii_back.jpg,"Greatest Hits II back cover",image/jpg,,,,,,,,,,,,,,,,
vr095,,,"Paradise Theatre",multiple,1981-01-16,"Hollywood, Calfornia, United States",34.092808,-118.328659,Styx,"DeYoung, Dennis; Young, James; Shaw, Tommy; Panozzo, Chuck, Panozzo, John.",Paradise Theatre is Styx's tenth studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Rock,A&M,33 1/3,,2nd Gen.,SP-3719
vr096,vr095,styx_paradise_theatre.jpg,"Paradise Theatre front cover",image/jpg,,,,,,,,,,,,,,,,
vr097,vr095,styx_paradise_theatre_back.jpg,"Paradise Theatre back cover",image/jpg,,,,,,,,,,,,,,,,
vr098,,,"Greatest Hits",multiple,1971-12-09,"Los Angeles, Calfornia, United States",34.052235,-118.243683,The Jackson 5,"Jackson, Jakie; Jackson, Tito; Jackson, Jermaine; Jackson, Marlon; Jackson, Michael.",Greatest Hits is the Jackson 5's first compilation album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,R&B/Soul,Motown,33 1/3,,2nd Gen.,M 741L
vr099,vr098,the_jackson_5_greatest_hits.jpg,"Greatest Hits front cover",image/jpg,,,,,,,,,,,,,,,,
vr100,vr098,the_jackson_5_greatest_hits_back.jpg,"Greatest Hits back cover",image/jpg,,,,,,,,,,,,,,,,
vr101,,,"Aloha from Hawaii via Satellite",multiple,1973-02-01,"New York City, New York, United States",40.71427,-74.00597,Elvis Presley,"Presley, Elvis.",Aloha from Hawaii via Satellite is Presley's live album is recordings from the concert with the same name in January.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Rock & Roll,RCA Records,33 1/3,,1st Gen.,CPRT-4750
vr102,vr101,elvis_aloha_from_hawaii.jpg,"Aloha from Hawaii via Satellite front cover",image/jpg,,,,,,,,,,,,,,,,
vr103,vr101,elvis_aloha_from_hawaii_back.jpg,"Aloha from Hawaii via Satellite back cover",image/jpg,,,,,,,,,,,,,,,,
vr104,,,"Honky Tonk Piano",multiple,1956,"New York City, New York, United States",40.71427,-74.00597,Frankie Carle,"Carle, Frankie.",Honky Tonk Piano is Carle's thirteenth album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Jazz,RCA Victor,33 1/3,,1st Gen.,LPM-1188
vr105,vr104,frankie_carle_honky_tonk_piano.jpg,"Honky Tonk Piano front cover",image/jpg,,,,,,,,,,,,,,,,
vr106,vr104,frankie_carle_honky_tonk_piano_back.jpg,"Honky Tonk Piano back cover",image/jpg,,,,,,,,,,,,,,,,
vr107,,,"Calcutta!",multiple,1961,"Nashville, Tennessee, United States ",36.174465,-86.767960,Lawrence Welk,"Welk, Lawrence",Calcutta! is an album by Lawrence Welk and his Orchestra.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Jazz,Dot Records,33 1/3,,1st Gen.,DLP-3359
vr108,vr107,lawrence_welk_calcutta!.jpg,"Calcutta! front cover",image/jpg,,,,,,,,,,,,,,,,
vr109,vr107,lawrence_welk_calcutta!_back.jpg,"Calcutta! back cover",image/jpg,,,,,,,,,,,,,,,,
vr110,,,"Aloha from Hawaii",multiple,1959,"New York City, New York, United States",40.71427,-74.00597,The Diamond Head Beachcombers,,,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,,RCA Victor,33 1/3,,1st Gen.,LSP 2059
vr111,vr110,diamond_head_beachcombers_aloha_from_hawaii_.jpg,"Aloha from Hawaii front cover",image/jpg,,,,,,,,,,,,,,,,
vr112,vr110,diamond_head_beachcombers_aloha_from_hawaii_back.jpg,"Aloha from Hawaii back cover",image/jpg,,,,,,,,,,,,,,,,
vr113,,,"Greatest of Nat King Cole",multiple,1972,"Hollywood, Calfornia, United States",34.092808,-118.328659,Nat King Cole,"Cole, Nat King.",,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Vocal,Capitol Records,33 1/3,,1st Gen.,SLB-6803
vr114,vr113,nat_king_cole_greatest_hits_vol._i.jpg,"Greatest Hits Vol. I front cover",image/jpg,,,,,,,,,,,,,,,,
vr115,vr113,nat_king_cole_greatest_hits_vol._i_back.jpg,"Greatest Hits Vol. I back cover",image/jpg,,,,,,,,,,,,,,,,
vr116,,,"Houston",multiple,1965,"Los Angeles, Calfornia, United States",34.052235,-118.243683,Dean Martin,"Martin, Dean.",Houston is Dean Martin's nineteenth studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Vocal,Reprise Recordings,33 1/3,,1st Gen.,RS 6181
vr117,vr116,dean_martin_houston.jpg,"Houston front cover",image/jpg,,,,,,,,,,,,,,,,
vr118,vr116,dean_martin_houston_back.jpg,"Houston back cover",image/jpg,,,,,,,,,,,,,,,,
vr119,,,(Remember Me) I'm the One Who Loves You,multiple,1965-09,"Los Angeles, Calfornia, United States",34.052235,-118.243683,Dean Martin,"Martin, Dean.",(Remember Me) I'm the One Who Loves You is Dean Martin's eighteenth studio album.,Image;StillImage,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en,Vocal,Reprise Records,33 1/3,,1st Gen.,RS 6170
vr120,vr119,dean_martin_remember_me.jpg,"(Remember Me) I'm the One Who Loves You front cover",image/jpg,,,,,,,,,,,,,,,,
vr121,vr119,dean_martin_remember_me_back.jpg,"(Remember Me) I'm the One Who Loves You back cover",image/jpg,,,,,,,,,,,,,,,,
